ID,X1_age,X2_job,X3_marital,X4_salary,X5_default,X6_balance,X7_housing,X8_loan,X9_contact,X13_campaign,X15_previous,X16_toutcome,X17_ioutcome
TR00000023,1_20代,06_サービス職,2_既婚,2_中,0_無,1_やや少,1_有,0_無,X_不明,1回,0回,0_無,0_無
TR00000024,3_40代,09_退職者,2_既婚,1_低,0_無,0_少,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000025,3_40代,03_事務職,2_既婚,2_中,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000026,2_30代,02_管理職,1_未婚,3_高,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000027,4_50代,01_経営者,2_既婚,2_中,0_無,1_やや少,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000028,3_40代,02_管理職,1_未婚,2_中,0_無,0_少,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000029,2_30代,04_技術職,1_未婚,2_中,0_無,1_やや少,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000030,4_50代,04_技術職,2_既婚,2_中,0_無,3_やや多,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000031,3_40代,02_管理職,2_既婚,3_高,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000032,5_60歳以上,03_事務職,2_既婚,2_中,0_無,1_やや少,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000033,4_50代,05_労務職,2_既婚,2_中,0_無,0_少,1_有,0_無,X_不明,1回,0回,0_無,0_無
TR00000034,4_50代,02_管理職,2_既婚,3_高,0_無,4_多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000035,4_50代,04_技術職,3_離婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000036,1_20代,05_労務職,2_既婚,2_中,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000037,4_50代,04_技術職,2_既婚,2_中,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000038,2_30代,03_事務職,3_離婚,2_中,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000039,2_30代,03_事務職,1_未婚,2_中,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000040,3_40代,06_サービス職,3_離婚,2_中,0_無,4_多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000041,4_50代,02_管理職,2_既婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000042,5_60歳以上,05_労務職,2_既婚,X_不明,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000043,4_50代,09_退職者,2_既婚,2_中,0_無,2_中,1_有,0_無,X_不明,1回,0回,0_無,0_無
TR00000044,4_50代,09_退職者,2_既婚,X_不明,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000045,2_30代,03_事務職,1_未婚,1_低,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000046,4_50代,07_自営業,2_既婚,3_高,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000047,3_40代,04_技術職,2_既婚,2_中,0_無,0_少,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000048,1_20代,02_管理職,1_未婚,3_高,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000049,4_50代,05_労務職,2_既婚,2_中,0_無,3_やや多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000050,3_40代,02_管理職,3_離婚,3_高,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000051,2_30代,02_管理職,2_既婚,3_高,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000052,3_40代,03_事務職,1_未婚,2_中,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000053,1_20代,04_技術職,1_未婚,2_中,0_無,0_少,1_有,1_有,X_不明,1回,0回,0_無,0_無
TR00000054,2_30代,01_経営者,1_未婚,3_高,0_無,1_やや少,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000055,2_30代,02_管理職,1_未婚,3_高,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000056,3_40代,05_労務職,2_既婚,X_不明,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000057,3_40代,05_労務職,1_未婚,X_不明,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000058,3_40代,06_サービス職,2_既婚,1_低,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000059,2_30代,03_事務職,2_既婚,3_高,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000060,4_50代,04_技術職,3_離婚,2_中,0_無,3_やや多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000061,4_50代,05_労務職,2_既婚,1_低,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000062,2_30代,06_サービス職,2_既婚,2_中,0_無,3_やや多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000063,3_40代,05_労務職,2_既婚,X_不明,0_無,1_やや少,1_有,0_無,X_不明,1回,0回,0_無,0_無
TR00000064,4_50代,02_管理職,2_既婚,3_高,0_無,4_多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000065,5_60歳以上,09_退職者,2_既婚,3_高,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000066,4_50代,02_管理職,3_離婚,3_高,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000067,4_50代,04_技術職,2_既婚,2_中,0_無,3_やや多,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000068,2_30代,05_労務職,1_未婚,2_中,0_無,4_多,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000069,4_50代,05_労務職,2_既婚,2_中,0_無,4_多,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000070,2_30代,06_サービス職,2_既婚,2_中,0_無,1_やや少,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000071,4_50代,02_管理職,2_既婚,2_中,0_無,2_中,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000072,4_50代,05_労務職,2_既婚,1_低,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000073,3_40代,04_技術職,2_既婚,2_中,0_無,4_多,1_有,0_無,X_不明,1回,0回,0_無,0_無
TR00000074,4_50代,04_技術職,2_既婚,2_中,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000075,3_40代,05_労務職,2_既婚,2_中,0_無,2_中,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000076,4_50代,06_サービス職,3_離婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000077,3_40代,06_サービス職,3_離婚,2_中,0_無,0_少,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000078,4_50代,06_サービス職,3_離婚,2_中,1_有,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000079,3_40代,03_事務職,1_未婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000080,3_40代,06_サービス職,3_離婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000081,3_40代,04_技術職,1_未婚,2_中,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000082,4_50代,03_事務職,2_既婚,2_中,0_無,4_多,0_無,0_無,X_不明,1回,0回,0_無,1_有
TR00000083,3_40代,07_自営業,2_既婚,3_高,0_無,1_やや少,1_有,1_有,X_不明,1回,0回,0_無,0_無
TR00000084,4_50代,05_労務職,2_既婚,1_低,0_無,1_やや少,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000085,4_50代,03_事務職,2_既婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,1_有
TR00000086,3_40代,04_技術職,2_既婚,2_中,0_無,3_やや多,0_無,0_無,X_不明,1回,0回,0_無,1_有
TR00000087,3_40代,02_管理職,3_離婚,2_中,0_無,0_少,0_無,1_有,X_不明,2回,0回,0_無,0_無
TR00000088,4_50代,09_退職者,2_既婚,2_中,0_無,2_中,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000089,3_40代,02_管理職,1_未婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000090,2_30代,04_技術職,2_既婚,2_中,0_無,1_やや少,0_無,1_有,X_不明,2回,0回,0_無,0_無
TR00000091,5_60歳以上,03_事務職,2_既婚,2_中,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000092,5_60歳以上,05_労務職,2_既婚,X_不明,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000093,4_50代,01_経営者,3_離婚,2_中,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000094,2_30代,02_管理職,2_既婚,3_高,0_無,1_やや少,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000095,4_50代,05_労務職,2_既婚,2_中,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000096,5_60歳以上,09_退職者,2_既婚,3_高,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000097,2_30代,04_技術職,2_既婚,2_中,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000098,3_40代,02_管理職,2_既婚,3_高,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000099,3_40代,05_労務職,2_既婚,2_中,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000100,4_50代,05_労務職,2_既婚,1_低,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000101,4_50代,05_労務職,2_既婚,1_低,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000102,4_50代,05_労務職,2_既婚,1_低,0_無,1_やや少,0_無,0_無,X_不明,3回以上,0回,0_無,0_無
TR00000103,1_20代,04_技術職,1_未婚,3_高,0_無,0_少,1_有,0_無,X_不明,1回,0回,0_無,0_無
TR00000104,3_40代,05_労務職,2_既婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000105,3_40代,04_技術職,2_既婚,3_高,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000106,2_30代,03_事務職,2_既婚,2_中,0_無,1_やや少,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000107,4_50代,09_退職者,1_未婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000108,3_40代,02_管理職,2_既婚,3_高,0_無,2_中,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000109,1_20代,06_サービス職,3_離婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000110,3_40代,04_技術職,3_離婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000111,4_50代,07_自営業,2_既婚,1_低,0_無,0_少,0_無,1_有,X_不明,2回,0回,0_無,0_無
TR00000112,2_30代,05_労務職,2_既婚,1_低,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000113,4_50代,09_退職者,3_離婚,1_低,0_無,1_やや少,1_有,0_無,X_不明,1回,0回,0_無,0_無
TR00000114,3_40代,05_労務職,2_既婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000115,3_40代,03_事務職,2_既婚,2_中,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000116,2_30代,02_管理職,1_未婚,3_高,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000117,4_50代,02_管理職,3_離婚,3_高,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000118,4_50代,04_技術職,2_既婚,1_低,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000119,4_50代,04_技術職,3_離婚,X_不明,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000120,4_50代,05_労務職,2_既婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000121,2_30代,03_事務職,2_既婚,X_不明,0_無,0_少,0_無,0_無,X_不明,3回以上,0回,0_無,0_無
TR00000122,3_40代,06_サービス職,2_既婚,2_中,0_無,1_やや少,0_無,1_有,X_不明,2回,0回,0_無,0_無
TR00000123,4_50代,04_技術職,2_既婚,3_高,0_無,0_少,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000124,2_30代,04_技術職,1_未婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000125,1_20代,03_事務職,1_未婚,2_中,0_無,3_やや多,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000126,2_30代,06_サービス職,2_既婚,2_中,0_無,0_少,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000127,2_30代,05_労務職,2_既婚,2_中,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000128,4_50代,06_サービス職,2_既婚,2_中,0_無,4_多,0_無,0_無,X_不明,1回,0回,0_無,1_有
TR00000129,4_50代,02_管理職,2_既婚,X_不明,0_無,3_やや多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000130,2_30代,03_事務職,1_未婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000131,2_30代,04_技術職,1_未婚,2_中,0_無,3_やや多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000132,4_50代,03_事務職,1_未婚,2_中,0_無,3_やや多,0_無,1_有,X_不明,2回,0回,0_無,0_無
TR00000133,1_20代,10_無職,1_未婚,3_高,0_無,0_少,1_有,0_無,X_不明,2回,0回,0_無,0_無
TR00000134,1_20代,05_労務職,2_既婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000135,2_30代,04_技術職,1_未婚,2_中,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000136,3_40代,06_サービス職,1_未婚,X_不明,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000137,2_30代,05_労務職,2_既婚,2_中,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000138,3_40代,05_労務職,2_既婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000139,4_50代,08_主婦,3_離婚,1_低,0_無,3_やや多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000140,2_30代,07_自営業,1_未婚,2_中,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000141,4_50代,10_無職,2_既婚,3_高,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000142,2_30代,05_労務職,2_既婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000143,4_50代,05_労務職,2_既婚,2_中,0_無,1_やや少,1_有,0_無,X_不明,1回,0回,0_無,0_無
TR00000144,2_30代,06_サービス職,2_既婚,2_中,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000145,4_50代,05_労務職,3_離婚,1_低,0_無,0_少,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000146,3_40代,10_無職,2_既婚,2_中,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000147,3_40代,06_サービス職,2_既婚,1_低,0_無,0_少,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000148,4_50代,05_労務職,2_既婚,1_低,0_無,2_中,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000149,4_50代,05_労務職,2_既婚,X_不明,0_無,0_少,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000150,1_20代,03_事務職,1_未婚,2_中,0_無,0_少,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000151,3_40代,02_管理職,2_既婚,3_高,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000152,2_30代,02_管理職,2_既婚,2_中,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000153,4_50代,04_技術職,2_既婚,1_低,0_無,1_やや少,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000154,3_40代,06_サービス職,2_既婚,2_中,0_無,0_少,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000155,4_50代,05_労務職,2_既婚,X_不明,0_無,4_多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000156,5_60歳以上,09_退職者,3_離婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000157,4_50代,05_労務職,2_既婚,2_中,0_無,3_やや多,0_無,0_無,X_不明,3回以上,0回,0_無,0_無
TR00000158,3_40代,05_労務職,2_既婚,2_中,0_無,3_やや多,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000159,3_40代,06_サービス職,2_既婚,X_不明,0_無,3_やや多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000160,2_30代,04_技術職,1_未婚,3_高,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000161,3_40代,06_サービス職,1_未婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000162,3_40代,05_労務職,2_既婚,2_中,0_無,3_やや多,0_無,0_無,X_不明,3回以上,0回,0_無,0_無
TR00000163,3_40代,04_技術職,2_既婚,2_中,0_無,1_やや少,1_有,0_無,X_不明,1回,0回,0_無,0_無
TR00000164,1_20代,03_事務職,1_未婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000165,4_50代,02_管理職,2_既婚,3_高,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000166,4_50代,04_技術職,2_既婚,2_中,0_無,3_やや多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000167,4_50代,03_事務職,2_既婚,3_高,0_無,1_やや少,0_無,0_無,X_不明,2回,0回,0_無,1_有
TR00000168,4_50代,05_労務職,2_既婚,1_低,0_無,0_少,0_無,0_無,X_不明,3回以上,0回,0_無,0_無
TR00000169,2_30代,05_労務職,2_既婚,2_中,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000170,3_40代,06_サービス職,2_既婚,2_中,0_無,3_やや多,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000171,4_50代,01_経営者,2_既婚,X_不明,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000172,2_30代,09_退職者,1_未婚,1_低,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000173,5_60歳以上,03_事務職,3_離婚,2_中,0_無,1_やや少,1_有,0_無,X_不明,1回,0回,0_無,0_無
TR00000174,4_50代,03_事務職,3_離婚,2_中,0_無,3_やや多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000175,3_40代,10_無職,2_既婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000176,2_30代,04_技術職,2_既婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000177,4_50代,06_サービス職,2_既婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000178,4_50代,02_管理職,2_既婚,2_中,0_無,3_やや多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000179,2_30代,06_サービス職,2_既婚,3_高,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000180,2_30代,04_技術職,3_離婚,2_中,0_無,3_やや多,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000181,2_30代,06_サービス職,2_既婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000182,2_30代,04_技術職,2_既婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000183,2_30代,03_事務職,2_既婚,3_高,0_無,1_やや少,1_有,0_無,X_不明,2回,0回,0_無,0_無
TR00000184,4_50代,09_退職者,2_既婚,1_低,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000185,3_40代,06_サービス職,3_離婚,X_不明,0_無,4_多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000186,4_50代,02_管理職,2_既婚,2_中,0_無,4_多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000187,2_30代,05_労務職,1_未婚,2_中,0_無,1_やや少,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000188,2_30代,02_管理職,1_未婚,3_高,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000189,4_50代,09_退職者,2_既婚,2_中,0_無,4_多,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000190,2_30代,02_管理職,2_既婚,3_高,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000191,4_50代,02_管理職,2_既婚,3_高,0_無,1_やや少,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000192,3_40代,03_事務職,2_既婚,2_中,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000193,2_30代,05_労務職,2_既婚,2_中,0_無,1_やや少,1_有,0_無,X_不明,1回,0回,0_無,0_無
TR00000194,2_30代,05_労務職,1_未婚,2_中,0_無,2_中,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000195,2_30代,06_サービス職,2_既婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000196,4_50代,04_技術職,3_離婚,3_高,0_無,1_やや少,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000197,3_40代,02_管理職,2_既婚,3_高,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000198,5_60歳以上,05_労務職,3_離婚,1_低,0_無,3_やや多,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000199,3_40代,03_事務職,2_既婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000200,3_40代,07_自営業,2_既婚,3_高,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000201,3_40代,05_労務職,2_既婚,2_中,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000202,2_30代,03_事務職,1_未婚,X_不明,0_無,2_中,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000203,2_30代,06_サービス職,2_既婚,2_中,0_無,0_少,1_有,0_無,X_不明,1回,0回,0_無,0_無
TR00000204,4_50代,06_サービス職,2_既婚,2_中,0_無,4_多,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000205,3_40代,02_管理職,2_既婚,3_高,0_無,1_やや少,0_無,1_有,X_不明,1回,0回,0_無,0_無
TR00000206,3_40代,02_管理職,2_既婚,3_高,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000207,2_30代,06_サービス職,1_未婚,X_不明,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000208,3_40代,09_退職者,2_既婚,2_中,0_無,1_やや少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000209,2_30代,05_労務職,2_既婚,2_中,0_無,0_少,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000210,4_50代,09_退職者,2_既婚,2_中,0_無,2_中,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000211,4_50代,08_主婦,3_離婚,1_低,0_無,1_やや少,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000212,2_30代,06_サービス職,2_既婚,2_中,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000213,4_50代,05_労務職,2_既婚,1_低,0_無,0_少,1_有,0_無,X_不明,1回,0回,0_無,0_無
TR00000214,3_40代,04_技術職,2_既婚,3_高,0_無,2_中,0_無,0_無,X_不明,1回,0回,0_無,0_無
TR00000215,3_40代,XX_不明,2_既婚,X_不明,0_無,1_やや少,0_無,0_無,X_不明,2回,0回,0_無,0_無
TR00000216,4_50代,10_無職,2_既婚,X_不明,0_無,0_少,0_無,0_無,X_不明,3回以上,0回,0_無,0_無
TR00000217,3_40代,08_主婦,2_既婚,1_低,0_無,3_やや多,0_無,0_無,X_不明,1回,0回,0_無,0_無
